oid,zip_code,home_broadband_adoption,mobile_broadband_adoption,no_internet_access_percentage,no_home_broadband_adoption,no_mobile_broadband_adoption,no_home_broadband_adoption_1,no_mobile_broadband_adoption_1,commercial_fiber_max_isp,public_computer_center_count,workstations_in_pccs,avg_training_hrs_per_week,public_wi_fi_count,poles_reserved_by_mobile,pole_with_equipment_installed,density_of_poles_reserved
103,10285,1,1,0,0,0,Low Connected,Low Connected,0,0,0,0,0,0,0,0
104,10286,0.9237,0.9514,0.0078,0.0763,0.0486,Low Connected,Low Connected,0,0,0,0,0,0,0,0
105,10301,0.7187,0.697,0.1897,0.2813,0.303,Medium High Connected,High Connected,4,3,131,28.3,9,31,60,1.94
106,10302,0.7081,0.7237,0.1919,0.2919,0.2763,Medium High Connected,High Connected,4,1,58,14.4,1,4,22,5.50
107,10303,0.6954,0.7095,0.2081,0.3046,0.2905,Medium High Connected,High Connected,4,2,63,11.9,0,12,23,1.92
108,10304,0.6819,0.6995,0.2248,0.3181,0.3005,High Connected,High Connected,4,3,121,18.5,12,31,46,1.48
109,10305,0.7284,0.7108,0.1689,0.2716,0.2892,Medium High Connected,High Connected,3,2,24,1.8,21,23,34,1.48
110,10306,0.7566,0.7132,0.1491,0.2434,0.2868,Medium High Connected,High Connected,4,3,93,12.6,25,26,49,1.88
111,10307,0.7949,0.7259,0.1221,0.2051,0.2741,Medium Low Connected,High Connected,3,1,14,1.5,1,12,23,1.92
112,10308,0.7993,0.7696,0.1056,0.2007,0.2304,Medium Low Connected,Medium High Connected,4,1,21,4.4,1,8,27,3.38
113,10309,0.8235,0.7839,0.1079,0.1765,0.2161,Medium Low Connected,Medium High Connected,3,0,0,0,4,17,72,4.24
114,10310,0.6577,0.6604,0.2339,0.3423,0.3396,High Connected,High Connected,4,2,67,2.8,18,12,28,2.33
115,10312,0.811,0.7781,0.1072,0.189,0.2219,Medium Low Connected,Medium High Connected,3,2,18,2,2,26,93,3.58
116,10314,0.8021,0.7637,0.1166,0.1979,0.2363,Medium Low Connected,Medium High Connected,6,4,95,30.9,6,28,112,4.00
117,10451,0.5939,0.7242,0.2761,0.4061,0.2758,High Connected,High Connected,6,6,87,12.9,47,21,55,2.62
118,10452,0.576,0.7416,0.2617,0.424,0.2584,High Connected,High Connected,5,5,116,34.1,14,27,76,2.81
119,10453,0.5758,0.7522,0.2622,0.4242,0.2478,High Connected,Medium High Connected,5,5,155,25.1,20,18,74,4.11
120,10454,0.5406,0.7116,0.3236,0.4594,0.2884,High Connected,High Connected,5,4,104,6.9,28,20,55,2.75
